trial,val_loss,params_M,n_modes,hidden_channels,n_layers,film_mlp_layers,film_mlp_neurons
2,0.7124976625442505,0.085187,8,16,2,4,128
45,0.6927099046707154,0.094067,8,16,4,6,32
28,0.6590818862915039,0.140323,8,16,6,2,64
29,0.5720685167312622,0.189827,8,32,2,2,128
21,0.5699279055595398,0.357859,8,32,4,2,64
15,0.5498368968963623,0.550979,8,32,6,6,64
40,0.516065821647644,0.601283,32,16,2,4,128
57,0.4897735605239868,0.984227,24,16,6,4,64
32,0.4808667678833008,1.126259,32,16,4,2,64
20,0.4618900785446167,1.205731,16,32,4,6,32
1,0.39521975231170653,2.084227,8,64,6,2,64
17,0.37990743899345397,4.503267,32,32,4,6,64
27,0.3359951455593109,4.786755,16,64,4,2,32
34,0.31763558053970337,15.461891,24,64,6,4,64
26,0.31292680740356443,17.918787,32,64,4,4,64
